"Plot Title: H5"
"Date Time, GMT+02:00","Temp, °C (SEN S/N: 9695064)","Coupler Detached","Coupler Attached","Host Connected","End Of File"
06/12/2019 02:09:10 PM,15.318,,,,
06/12/2019 03:09:10 PM,16.820,,,,
06/12/2019 04:09:10 PM,18.081,,,,
06/12/2019 05:09:10 PM,15.867,,,,
06/12/2019 06:09:10 PM,12.509,,,,
06/12/2019 07:09:10 PM,12.122,,,,
06/12/2019 08:09:10 PM,9.534,,,,
06/12/2019 09:09:10 PM,8.394,,,,
06/12/2019 10:09:10 PM,7.645,,,,
06/12/2019 11:09:10 PM,7.116,,,,
06/13/2019 12:09:10 AM,6.611,,,,
06/13/2019 01:09:10 AM,6.230,,,,
06/13/2019 02:09:10 AM,5.898,,,,
06/13/2019 03:09:10 AM,5.565,,,,
06/13/2019 04:09:10 AM,5.334,,,,
06/13/2019 05:09:10 AM,5.102,,,,
06/13/2019 06:09:10 AM,5.231,,,,
06/13/2019 07:09:10 AM,5.050,,,,
06/13/2019 08:09:10 AM,5.591,,,,
06/13/2019 09:09:10 AM,6.128,,,,
06/13/2019 10:09:10 AM,6.661,,,,
06/13/2019 11:09:10 AM,14.529,,,,
06/13/2019 12:09:10 PM,20.984,,,,
06/13/2019 01:09:10 PM,25.355,,,,
06/13/2019 02:09:10 PM,26.256,,,,
06/13/2019 03:09:10 PM,21.032,,,,
06/13/2019 04:09:10 PM,20.555,,,,
06/13/2019 05:09:10 PM,20.103,,,,
06/13/2019 06:09:10 PM,15.414,,,,
06/13/2019 07:09:10 PM,13.594,,,,
06/13/2019 08:09:10 PM,12.413,,,,
06/13/2019 09:09:10 PM,11.394,,,,
06/13/2019 10:09:10 PM,10.614,,,,
06/13/2019 11:09:10 PM,10.149,,,,
06/14/2019 12:09:10 AM,9.682,,,,
06/14/2019 01:09:10 AM,9.336,,,,
06/14/2019 02:09:10 AM,8.941,,,,
06/14/2019 03:09:10 AM,8.568,,,,
06/14/2019 04:09:10 AM,8.020,,,,
06/14/2019 05:09:10 AM,8.020,,,,
06/14/2019 06:09:10 AM,6.864,,,,
06/14/2019 07:09:10 AM,6.382,,,,
06/14/2019 08:09:10 AM,5.668,,,,
06/14/2019 09:09:10 AM,7.041,,,,
06/14/2019 10:09:10 AM,6.661,,,,
06/14/2019 11:09:10 AM,15.485,,,,
06/14/2019 12:09:10 PM,21.175,,,,
06/14/2019 01:09:10 PM,25.550,,,,
06/14/2019 02:09:10 PM,26.256,,,,
06/14/2019 03:09:10 PM,21.963,,,,
06/14/2019 04:09:10 PM,21.032,,,,
06/14/2019 05:09:10 PM,19.555,,,,
06/14/2019 06:09:10 PM,15.867,,,,
06/14/2019 07:09:10 PM,12.775,,,,
06/14/2019 08:09:10 PM,10.516,,,,
06/14/2019 09:09:10 PM,9.015,,,,
06/14/2019 10:09:10 PM,8.045,,,,
06/14/2019 11:09:10 PM,7.293,,,,
06/15/2019 12:09:10 AM,7.015,,,,
06/15/2019 01:09:10 AM,6.281,,,,
06/15/2019 02:09:10 AM,5.591,,,,
06/15/2019 03:09:10 AM,5.411,,,,
06/15/2019 04:09:10 AM,5.179,,,,
06/15/2019 05:09:10 AM,4.999,,,,
06/15/2019 06:09:10 AM,4.610,,,,
06/15/2019 07:09:10 AM,4.584,,,,
06/15/2019 08:09:10 AM,4.740,,,,
06/15/2019 09:09:10 AM,4.740,,,,
06/15/2019 10:09:10 AM,5.076,,,,
06/15/2019 11:09:10 AM,15.127,,,,
06/15/2019 12:09:10 PM,20.174,,,,
06/15/2019 01:09:10 PM,24.677,,,,
06/15/2019 02:09:10 PM,25.162,,,,
06/15/2019 03:09:10 PM,20.627,,,,
06/15/2019 04:09:10 PM,20.293,,,,
06/15/2019 05:09:10 PM,18.604,,,,
06/15/2019 06:09:10 PM,15.079,,,,
06/15/2019 07:09:10 PM,12.558,,,,
06/15/2019 08:09:10 PM,10.075,,,,
06/15/2019 09:09:10 PM,9.089,,,,
06/15/2019 10:09:10 PM,8.070,,,,
06/15/2019 11:09:10 PM,7.569,,,,
06/16/2019 12:09:10 AM,6.914,,,,
06/16/2019 01:09:10 AM,6.560,,,,
06/16/2019 02:09:10 AM,5.796,,,,
06/16/2019 03:09:10 AM,5.385,,,,
06/16/2019 04:09:10 AM,5.024,,,,
06/16/2019 05:09:10 AM,4.610,,,,
06/16/2019 06:09:10 AM,4.324,,,,
06/16/2019 07:09:10 AM,4.324,,,,
06/16/2019 08:09:10 AM,5.257,,,,
06/16/2019 09:09:10 AM,7.393,,,,
06/16/2019 10:09:10 AM,8.120,,,,
06/16/2019 11:09:10 AM,12.171,,,,
06/16/2019 12:09:10 PM,13.690,,,,
06/16/2019 01:09:10 PM,13.161,,,,
06/16/2019 02:09:10 PM,18.247,,,,
06/16/2019 03:09:10 PM,19.579,,,,
06/16/2019 04:09:10 PM,14.960,,,,
06/16/2019 05:09:10 PM,17.891,,,,
06/16/2019 06:09:10 PM,14.122,,,,
06/16/2019 07:09:10 PM,12.703,,,,
06/16/2019 08:09:10 PM,10.100,,,,
06/16/2019 09:09:10 PM,9.015,,,,
06/16/2019 10:09:10 PM,8.195,,,,
06/16/2019 11:09:10 PM,7.670,,,,
06/17/2019 12:09:10 AM,7.142,,,,
06/17/2019 01:09:10 AM,6.687,,,,
06/17/2019 02:09:10 AM,6.204,,,,
06/17/2019 03:09:10 AM,5.821,,,,
06/17/2019 04:09:10 AM,5.591,,,,
06/17/2019 05:09:10 AM,5.257,,,,
06/17/2019 06:09:10 AM,4.973,,,,
06/17/2019 07:09:10 AM,4.844,,,,
06/17/2019 08:09:10 AM,4.895,,,,
06/17/2019 09:09:10 AM,4.973,,,,
06/17/2019 10:09:10 AM,5.437,,,,
06/17/2019 11:09:10 AM,15.438,,,,
06/17/2019 12:09:10 PM,20.412,,,,
06/17/2019 01:09:10 PM,20.960,,,,
06/17/2019 02:09:10 PM,22.250,,,,
06/17/2019 03:09:10 PM,16.368,,,,
06/17/2019 04:09:10 PM,18.200,,,,
06/17/2019 05:09:10 PM,18.033,,,,
06/17/2019 06:09:10 PM,14.984,,,,
06/17/2019 07:09:10 PM,12.847,,,,
06/17/2019 08:09:10 PM,10.394,,,,
06/17/2019 09:09:10 PM,9.336,,,,
06/17/2019 10:09:10 PM,8.543,,,,
06/17/2019 11:09:10 PM,8.120,,,,
06/18/2019 12:09:10 AM,7.594,,,,
06/18/2019 01:09:10 AM,7.242,,,,
06/18/2019 02:09:10 AM,6.763,,,,
06/18/2019 03:09:10 AM,6.230,,,,
06/18/2019 04:09:10 AM,5.745,,,,
06/18/2019 05:09:10 AM,5.334,,,,
06/18/2019 06:09:10 AM,5.591,,,,
06/18/2019 07:09:10 AM,5.179,,,,
06/18/2019 08:09:10 AM,5.308,,,,
06/18/2019 09:09:10 AM,5.949,,,,
06/18/2019 10:09:10 AM,6.331,,,,
06/18/2019 11:09:10 AM,16.153,,,,
06/18/2019 12:09:10 PM,20.984,,,,
06/18/2019 01:09:10 PM,24.412,,,,
06/18/2019 02:09:10 PM,25.016,,,,
06/18/2019 03:09:10 PM,21.127,,,,
06/18/2019 04:09:10 PM,20.746,,,,
06/18/2019 05:09:10 PM,19.127,,,,
06/18/2019 06:09:10 PM,15.509,,,,
06/18/2019 07:09:10 PM,13.305,,,,
06/18/2019 08:09:10 PM,10.565,,,,
06/18/2019 09:09:10 PM,9.361,,,,
06/18/2019 10:09:10 PM,8.593,,,,
06/18/2019 11:09:10 PM,8.070,,,,
06/19/2019 12:09:10 AM,7.544,,,,
06/19/2019 01:09:10 AM,7.142,,,,
06/19/2019 02:09:10 AM,6.458,,,,
06/19/2019 03:09:10 AM,6.611,,,,
06/19/2019 04:09:10 AM,6.763,,,,
06/19/2019 05:09:10 AM,6.408,,,,
06/19/2019 06:09:10 AM,6.153,,,,
06/19/2019 07:09:10 AM,6.281,,,,
06/19/2019 08:09:10 AM,6.051,,,,
06/19/2019 09:09:10 AM,6.179,,,,
06/19/2019 10:09:10 AM,6.102,,,,
06/19/2019 11:09:10 AM,13.473,,,,
06/19/2019 12:09:10 PM,19.746,,,,
06/19/2019 01:09:10 PM,24.508,,,,
06/19/2019 02:09:10 PM,25.162,,,,
06/19/2019 03:09:10 PM,21.223,,,,
06/19/2019 04:09:10 PM,20.555,,,,
06/19/2019 05:09:10 PM,19.817,,,,
06/19/2019 06:09:10 PM,16.010,,,,
06/19/2019 07:09:10 PM,13.546,,,,
06/19/2019 08:09:10 PM,11.540,,,,
06/19/2019 09:09:10 PM,10.149,,,,
06/19/2019 10:09:10 PM,9.040,,,,
06/19/2019 11:09:10 PM,8.319,,,,
06/20/2019 12:09:10 AM,8.120,,,,
06/20/2019 01:09:10 AM,7.945,,,,
06/20/2019 02:09:10 AM,7.293,,,,
06/20/2019 03:09:10 AM,6.179,,,,
06/20/2019 04:09:10 AM,6.026,,,,
06/20/2019 05:09:10 AM,5.924,,,,
06/20/2019 06:09:10 AM,5.847,,,,
06/20/2019 07:09:10 AM,5.872,,,,
06/20/2019 08:09:10 AM,5.719,,,,
06/20/2019 09:09:10 AM,5.514,,,,
06/20/2019 10:09:10 AM,5.565,,,,
06/20/2019 11:09:10 AM,15.509,,,,
06/20/2019 12:09:10 PM,20.555,,,,
06/20/2019 01:09:10 PM,24.629,,,,
06/20/2019 02:09:10 PM,24.750,,,,
06/20/2019 03:09:10 PM,21.628,,,,
06/20/2019 04:09:10 PM,20.960,,,,
06/20/2019 05:09:10 PM,19.365,,,,
06/20/2019 06:09:10 PM,15.986,,,,
06/20/2019 07:09:10 PM,13.642,,,,
06/20/2019 08:09:10 PM,11.540,,,,
06/20/2019 09:09:10 PM,10.394,,,,
06/20/2019 10:09:10 PM,9.262,,,,
06/20/2019 11:09:10 PM,8.593,,,,
06/21/2019 12:09:10 AM,7.895,,,,
06/21/2019 01:09:10 AM,7.569,,,,
06/21/2019 02:09:10 AM,6.813,,,,
06/21/2019 03:09:10 AM,6.408,,,,
06/21/2019 04:09:10 AM,6.281,,,,
06/21/2019 05:09:10 AM,5.847,,,,
06/21/2019 06:09:10 AM,5.539,,,,
06/21/2019 07:09:10 AM,5.179,,,,
06/21/2019 08:09:10 AM,5.205,,,,
06/21/2019 09:09:10 AM,5.257,,,,
06/21/2019 10:09:10 AM,5.770,,,,
06/21/2019 11:09:10 AM,15.414,,,,
06/21/2019 12:09:10 PM,19.722,,,,
06/21/2019 01:09:10 PM,24.363,,,,
06/21/2019 02:09:10 PM,24.798,,,,
06/21/2019 03:09:10 PM,21.413,,,,
06/21/2019 04:09:10 PM,20.460,,,,
06/21/2019 05:09:10 PM,19.008,,,,
06/21/2019 06:09:10 PM,15.891,,,,
06/21/2019 07:09:10 PM,13.522,,,,
06/21/2019 08:09:10 PM,11.565,,,,
06/21/2019 09:09:10 PM,10.394,,,,
06/21/2019 10:09:10 PM,9.460,,,,
06/21/2019 11:09:10 PM,8.792,,,,
06/22/2019 12:09:10 AM,8.195,,,,
06/22/2019 01:09:10 AM,7.645,,,,
06/22/2019 02:09:10 AM,7.217,,,,
06/22/2019 03:09:10 AM,6.737,,,,
06/22/2019 04:09:10 AM,6.331,,,,
06/22/2019 05:09:10 AM,5.949,,,,
06/22/2019 06:09:10 AM,5.539,,,,
06/22/2019 07:09:10 AM,5.257,,,,
06/22/2019 08:09:10 AM,5.334,,,,
06/22/2019 09:09:10 AM,5.411,,,,
06/22/2019 10:09:10 AM,5.898,,,,
06/22/2019 11:09:10 AM,15.079,,,,
06/22/2019 12:09:10 PM,20.126,,,,
06/22/2019 01:09:10 PM,24.219,,,,
06/22/2019 02:09:10 PM,24.581,,,,
06/22/2019 03:09:10 PM,21.390,,,,
06/22/2019 04:09:10 PM,20.865,,,,
06/22/2019 05:09:10 PM,19.436,,,,
06/22/2019 06:09:10 PM,16.701,,,,
06/22/2019 07:09:10 PM,14.337,,,,
06/22/2019 08:09:10 PM,12.171,,,,
06/22/2019 09:09:10 PM,11.053,,,,
06/22/2019 10:09:10 PM,10.124,,,,
06/22/2019 11:09:10 PM,9.632,,,,
06/23/2019 12:09:10 AM,9.114,,,,
06/23/2019 01:09:10 AM,8.643,,,,
06/23/2019 02:09:10 AM,8.170,,,,
06/23/2019 03:09:10 AM,7.770,,,,
06/23/2019 04:09:10 AM,7.544,,,,
06/23/2019 05:09:10 AM,7.217,,,,
06/23/2019 06:09:10 AM,6.990,,,,
06/23/2019 07:09:10 AM,6.914,,,,
06/23/2019 08:09:10 AM,6.940,,,,
06/23/2019 09:09:10 AM,7.116,,,,
06/23/2019 10:09:10 AM,7.544,,,,
06/23/2019 11:09:10 AM,16.320,,,,
06/23/2019 12:09:10 PM,20.889,,,,
06/23/2019 01:09:10 PM,25.258,,,,
06/23/2019 02:09:10 PM,25.283,,,,
06/23/2019 03:09:10 PM,22.465,,,,
06/23/2019 04:09:10 PM,21.891,,,,
06/23/2019 05:09:10 PM,20.627,,,,
06/23/2019 06:09:10 PM,18.081,,,,
06/23/2019 07:09:10 PM,15.414,,,,
06/23/2019 08:09:10 PM,13.329,,,,
06/23/2019 09:09:10 PM,12.098,,,,
06/23/2019 10:09:10 PM,11.053,,,,
06/23/2019 11:09:10 PM,10.443,,,,
06/24/2019 12:09:10 AM,9.780,,,,
06/24/2019 01:09:10 AM,9.139,,,,
06/24/2019 02:09:10 AM,8.568,,,,
06/24/2019 03:09:10 AM,8.220,,,,
06/24/2019 04:09:10 AM,7.820,,,,
06/24/2019 05:09:10 AM,7.469,,,,
06/24/2019 06:09:10 AM,7.242,,,,
06/24/2019 07:09:10 AM,7.142,,,,
06/24/2019 08:09:10 AM,7.268,,,,
06/24/2019 09:09:10 AM,7.393,,,,
06/24/2019 10:09:10 AM,7.820,,,,
06/24/2019 11:09:10 AM,15.986,,,,
06/24/2019 12:09:10 PM,20.984,,,,
06/24/2019 01:09:10 PM,24.388,,,,
06/24/2019 02:09:10 PM,24.605,,,,
06/24/2019 03:09:10 PM,22.250,,,,
06/24/2019 04:09:10 PM,21.604,,,,
06/24/2019 05:09:10 PM,20.722,,,,
06/24/2019 06:09:10 PM,18.081,,,,
06/24/2019 07:09:10 PM,15.557,,,,
06/24/2019 08:09:10 PM,13.377,,,,
